Stream Trained,Job Role,Placement Number,Placement: Resource: Full Name,Operating Location Name,FDM Office,Start Date,End Date,Degree Classification,University of Study,Degree Subject
Testing,Data Services,1513,First Name Surname 1513,Moorgate,Manchester,12/03/2013,12/03/2015,1,University of Glasgow,Chemistry
Data Analyst,Data Services,1514,First Name Surname 1514,Leeds Centre,London,22/07/2013,22/07/2015,2:1,Coventry University,Politics
PMO,Support,1515,First Name Surname 1515,Oxford Circus,Manchester,14/12/2013,14/12/2015,3,University of Sheffield,Politics
PMO,Testing,1516,First Name Surname 1516,Oxford Circus,Manchester,01/08/2013,01/08/2015,3,Coventry University,Mechanical Engineering
Testing,Data Services,1517,First Name Surname 1517,Edinburgh,London,15/03/2012,15/03/2014,2:1,University of Reading,Accounting and Finance
Infrastructure,Infrastructure,1518,First Name Surname 1518,Leeds Centre,Manchester,28/11/2012,28/11/2014,1,Coventry University,Politics
Application Support,Business Analysis,1519,First Name Surname 1519,Oxford Circus,London,06/12/2012,06/12/2014,2:1,University of Chester,Economics
PMO,PMO,1520,First Name Surname 1520,Birmingham New Street,London,05/07/2012,05/07/2014,2:1,University of St Andrews,Chemistry
Business Analysis,Consulting,1521,First Name Surname 1521,Moorgate,Manchester,09/03/2013,09/03/2015,1,University of Essex,Politics
Testing,Consulting,1522,First Name Surname 1522,Newcastle,London,24/01/2012,24/01/2014,2:1,University of Huddersfield,Mathematics
Business Analysis,Business Intelligence,1523,First Name Surname 1523,Oxford Circus,London,11/02/2013,11/02/2015,1,Glasgow Caledonian University,Geography and Environmental Sciences
Infrastructure,Business Analysis,1524,First Name Surname 1524,Edinburgh,London,20/06/2012,20/06/2014,2:1,University of Brighton,Computer Science
Development (.Net),Testing,1525,First Name Surname 1525,Oxford Circus,London,18/03/2013,18/03/2015,2:2,Loughbourgh University,Civil Engineering
Infrastructure,Support,1526,First Name Surname 1526,Leeds Centre,London,08/09/2013,08/09/2015,2:1,London Metropolitan University,Computer Science
PMO,Business Intelligence,1527,First Name Surname 1527,Newcastle,Manchester,07/04/2012,07/04/2014,1,Swansea University,Geography and Environmental Sciences
Infrastructure,PMO,1528,First Name Surname 1528,Birmingham New Street,London,21/05/2013,21/05/2015,1,University of Salford,Electrical and Electronic Engineering
Development (.Net),Cyber Security,1529,First Name Surname 1529,Newcastle,Manchester,02/01/2012,02/01/2014,2:1,University of Glasgow,Psychology
Development (Java),Testing,1530,First Name Surname 1530,Oxford Circus,Manchester,08/02/2013,08/02/2015,2:2,University College London,Computer Science
PMO,Business Analysis,1531,First Name Surname 1531,Newcastle,Manchester,25/10/2012,25/10/2014,2:2,Newcastle University ,English
Testing,Data Services,1532,First Name Surname 1532,Birmingham New Street,Manchester,15/01/2013,15/01/2015,2:2,University of Leicester,Accounting and Finance
Application Support,Business Intelligence,1533,First Name Surname 1533,Oxford Circus,Manchester,26/02/2012,26/02/2014,2:2,University of Glasgow,Accounting and Finance
Data Analyst,Cyber Security,1534,First Name Surname 1534,Oxford Circus,Manchester,22/10/2013,22/10/2015,2:2,University of Sheffield,Mathematics
Application Support,Data Services,1535,First Name Surname 1535,Newcastle,Manchester,08/11/2013,08/11/2015,2:1,University of East Anglia,Economics
Business Analysis,Infrastructure,1536,First Name Surname 1536,Leeds Centre,Manchester,08/03/2013,08/03/2015,2:1,University of Brighton,Politics
Business Analysis,Consulting,1537,First Name Surname 1537,Moorgate,London,21/03/2013,21/03/2015,1,University of Huddersfield,History
Development (Java),Business Intelligence,1538,First Name Surname 1538,Birmingham New Street,Manchester,06/12/2011,06/12/2013,2:2,University of Huddersfield,Marketing
Application Support,Business Analysis,1539,First Name Surname 1539,Edinburgh,London,27/09/2013,27/09/2015,2:1,University of Manchester,Biological Sciences
Data Analyst,Business Intelligence,1540,First Name Surname 1540,Newcastle,London,20/07/2013,20/07/2015,2:1,Bangor University,Biological Sciences
Development (Java),Testing,1541,First Name Surname 1541,Edinburgh,Manchester,30/06/2012,30/06/2014,2:2,University of Warwick,Computer Science
Development (Java),PMO,1542,First Name Surname 1542,Newcastle,Manchester,27/09/2013,27/09/2015,2:1,Newcastle University ,Business and Management Studies
Testing,Infrastructure,1543,First Name Surname 1543,Edinburgh,Manchester,20/12/2013,20/12/2015,1,Loughbourgh University,Law
Infrastructure,Testing,1544,First Name Surname 1544,Edinburgh,Manchester,10/11/2011,10/11/2013,2:1,Open University,Politics
PMO,Consulting,1545,First Name Surname 1545,Birmingham New Street,London,28/10/2011,28/10/2013,2:1,Manchester Metropolitan University,Mathematics
Development (.Net),Support,1546,First Name Surname 1546,Moorgate,Manchester,11/06/2012,11/06/2014,2:2,University of Brighton,Marketing
Infrastructure,Consulting,1547,First Name Surname 1547,Edinburgh,London,22/09/2012,22/09/2014,2:1,Loughbourgh University,Economics
Infrastructure,PMO,1548,First Name Surname 1548,Edinburgh,Manchester,14/11/2012,14/11/2014,2:2,University of Portsmouth,Civil Engineering
Development (.Net),Consulting,1549,First Name Surname 1549,Leeds Centre,London,07/12/2013,07/12/2015,1,University of York,Mechanical Engineering
Infrastructure,Business Analysis,1550,First Name Surname 1550,Leeds Centre,Manchester,12/11/2013,12/11/2015,2:2,Cardiff University,Accounting and Finance
Business Analysis,Business Analysis,1551,First Name Surname 1551,Newcastle,Manchester,14/05/2013,14/05/2015,2:2,University of Warwick,Politics
Infrastructure,PMO,1552,First Name Surname 1552,Moorgate,Manchester,07/04/2013,07/04/2015,2:2,Loughbourgh University,Physics and Astronomy
Business Analysis,Testing,1553,First Name Surname 1553,Birmingham New Street,London,31/10/2013,31/10/2015,2:2,Bangor University,Economics
Infrastructure,PMO,1554,First Name Surname 1554,Edinburgh,London,25/10/2011,25/10/2013,2:1,De Montfort University,Computer Science
Testing,Testing,1555,First Name Surname 1555,Birmingham New Street,Manchester,11/10/2013,11/10/2015,2:2,University of Manchester,History
Development (Java),Business Intelligence,1556,First Name Surname 1556,Moorgate,Manchester,01/04/2013,01/04/2015,2:2,London Metropolitan University,Physics and Astronomy
PMO,Support,1557,First Name Surname 1557,Birmingham New Street,Manchester,28/07/2013,28/07/2015,2:1,University of Reading,Computer Science
Development (Java),Data Services,1558,First Name Surname 1558,Edinburgh,Manchester,19/12/2012,19/12/2014,3,University of Portsmouth,Electrical and Electronic Engineering
PMO,Business Intelligence,1559,First Name Surname 1559,Edinburgh,Manchester,17/12/2013,17/12/2015,2:1,Manchester Metropolitan University,Aeronautical Engineering
Application Support,Support,1560,First Name Surname 1560,Oxford Circus,London,03/08/2012,03/08/2014,2:2,Coventry University,English
Infrastructure,Consulting,1561,First Name Surname 1561,Newcastle,London,10/12/2012,10/12/2014,2:1,Newcastle University ,Classics and Ancient History
Development (Java),Data Services,1562,First Name Surname 1562,Birmingham New Street,London,24/10/2013,24/10/2015,2:2,University of Leicester,Classics and Ancient History
PMO,Business Intelligence,1563,First Name Surname 1563,Birmingham New Street,Manchester,10/10/2013,10/10/2015,3,University of Leeds,Marketing
Application Support,Consulting,1564,First Name Surname 1564,Moorgate,Manchester,30/03/2013,30/03/2015,3,University of Nottingham,Mathematics
Development (Java),Cyber Security,1565,First Name Surname 1565,Leeds Centre,Manchester,19/07/2013,19/07/2015,2:2,University of Abertay,Psychology
Testing,Testing,1566,First Name Surname 1566,Moorgate,London,27/02/2013,27/02/2015,2:2,Newcastle University ,English
Development (Java),Data Services,1567,First Name Surname 1567,Oxford Circus,London,12/01/2013,12/01/2015,1,University of York,Accounting and Finance
Application Support,Business Intelligence,1568,First Name Surname 1568,Oxford Circus,London,14/11/2012,14/11/2014,2:1,University College London,Mathematics
Testing,Business Intelligence,1569,First Name Surname 1569,Newcastle,London,29/06/2013,29/06/2015,2:1,University of Brighton,Electrical and Electronic Engineering
Data Analyst,Business Intelligence,1570,First Name Surname 1570,Birmingham New Street,Manchester,28/12/2013,28/12/2015,2:2,University of Central Lancashire,Civil Engineering
Testing,PMO,1571,First Name Surname 1571,Birmingham New Street,London,01/04/2013,01/04/2015,2:1,Glasgow Caledonian University,Accounting and Finance
Application Support,Cyber Security,1572,First Name Surname 1572,Leeds Centre,Manchester,03/05/2013,03/05/2015,2:1,Coventry University,Politics
Infrastructure,Testing,1573,First Name Surname 1573,Newcastle,Manchester,20/06/2012,20/06/2014,1,Glasgow Caledonian University,Geography and Environmental Sciences
Data Analyst,Support,1574,First Name Surname 1574,Birmingham New Street,London,24/01/2013,24/01/2015,2:1,University of Glasgow,Mathematics
Development (Java),Data Services,1575,First Name Surname 1575,Birmingham New Street,Manchester,15/03/2012,15/03/2014,2:2,Nottingham Trent University,English
Testing,Infrastructure,1576,First Name Surname 1576,Newcastle,London,17/05/2012,17/05/2014,2:2,Swansea University,Marketing
Development (.Net),Cyber Security,1577,First Name Surname 1577,Moorgate,Manchester,04/02/2012,04/02/2014,2:1,University of Salford,Aeronautical Engineering
Development (Java),Business Analysis,1578,First Name Surname 1578,Birmingham New Street,Manchester,27/05/2013,27/05/2015,1,Open University,Computer Science
PMO,PMO,1579,First Name Surname 1579,Newcastle,London,30/01/2012,30/01/2014,1,University of Salford,Mathematics
Business Analysis,PMO,1580,First Name Surname 1580,Birmingham New Street,London,28/11/2013,28/11/2015,2:2,Manchester Metropolitan University,Geography and Environmental Sciences
PMO,Testing,1581,First Name Surname 1581,Oxford Circus,Manchester,17/11/2012,17/11/2014,1,University of Salford,Accounting and Finance
Development (Java),Business Analysis,1582,First Name Surname 1582,Leeds Centre,Manchester,24/03/2013,24/03/2015,2:2,University of Chester,Mathematics
Business Analysis,Cyber Security,1583,First Name Surname 1583,Newcastle,Manchester,21/11/2012,21/11/2014,2:2,University of Huddersfield,Politics
Testing,Cyber Security,1584,First Name Surname 1584,Moorgate,Manchester,29/10/2013,29/10/2015,2:1,University of Sheffield,Forensic Computing
Development (.Net),Testing,1585,First Name Surname 1585,Newcastle,Manchester,25/09/2013,25/09/2015,3,Swansea University,Biological Sciences
Application Support,Consulting,1586,First Name Surname 1586,Moorgate,London,18/12/2013,18/12/2015,1,Glasgow Caledonian University,Computer Science
PMO,Data Services,1587,First Name Surname 1587,Edinburgh,London,07/09/2013,07/09/2015,3,University of Portsmouth,Business and Management Studies
Development (.Net),Support,1588,First Name Surname 1588,Newcastle,London,24/10/2013,24/10/2015,2:1,University of Sheffield,Physics and Astronomy
Infrastructure,Testing,1589,First Name Surname 1589,Edinburgh,Manchester,11/03/2013,11/03/2015,1,University of East Anglia,Mathematics
Business Analysis,Data Services,1590,First Name Surname 1590,Edinburgh,London,07/12/2013,07/12/2015,1,University College London,Business and Management Studies
Development (Java),Cyber Security,1591,First Name Surname 1591,Oxford Circus,Manchester,06/12/2012,06/12/2014,2:1,University of Reading,Economics
PMO,PMO,1592,First Name Surname 1592,Moorgate,Manchester,24/09/2013,24/09/2015,2:1,University of York,Mechanical Engineering
Development (Java),Infrastructure,1593,First Name Surname 1593,Oxford Circus,Manchester,08/07/2012,08/07/2014,3,Swansea University,Computer Science
Development (.Net),Cyber Security,1594,First Name Surname 1594,Moorgate,Manchester,29/11/2012,29/11/2014,1,University of Salford,Accounting and Finance
Data Analyst,Business Analysis,1595,First Name Surname 1595,Newcastle,Manchester,17/11/2013,17/11/2015,1,University of Chester,Mathematics
Application Support,Infrastructure,1596,First Name Surname 1596,Newcastle,Manchester,07/06/2013,07/06/2015,2:1,University of Chester,Computer Science
Testing,Support,1597,First Name Surname 1597,Edinburgh,London,30/09/2013,30/09/2015,2:1,University of Leicester,Politics
Development (.Net),Cyber Security,1598,First Name Surname 1598,Leeds Centre,London,12/12/2011,12/12/2013,2:1,Cardiff University,Mathematics
Testing,Business Analysis,1599,First Name Surname 1599,Newcastle,London,17/01/2013,17/01/2015,3,University College London,Games Design
Application Support,Business Analysis,1600,First Name Surname 1600,Oxford Circus,London,31/07/2012,31/07/2014,2:1,Open University,Mathematics
PMO,Support,1601,First Name Surname 1601,Edinburgh,London,16/12/2012,16/12/2014,2:1,University of Liverpool,Electrical and Electronic Engineering
Development (Java),Infrastructure,1602,First Name Surname 1602,Edinburgh,London,10/12/2013,10/12/2015,2:1,University College London,Politics
Development (.Net),Cyber Security,1603,First Name Surname 1603,Oxford Circus,London,20/07/2013,20/07/2015,2:2,University of Reading,Economics
Infrastructure,Cyber Security,1604,First Name Surname 1604,Leeds Centre,London,20/02/2013,20/02/2015,2:1,De Montfort University,Economics
Application Support,PMO,1605,First Name Surname 1605,Newcastle,Manchester,28/06/2013,28/06/2015,2:1,Bangor University,Physics and Astronomy
Development (Java),PMO,1606,First Name Surname 1606,Leeds Centre,Manchester,11/10/2011,11/10/2013,3,University of Chester,Forensic Computing
PMO,Cyber Security,1607,First Name Surname 1607,Oxford Circus,London,05/08/2013,05/08/2015,2:2,University of Warwick,Chemistry
Development (.Net),Business Intelligence,1608,First Name Surname 1608,Edinburgh,Manchester,24/09/2012,24/09/2014,2:2,University of Huddersfield,Games Design
Testing,Cyber Security,1609,First Name Surname 1609,Edinburgh,Manchester,18/06/2013,18/06/2015,2:2,University College London,Physics and Astronomy
Development (Java),Cyber Security,1610,First Name Surname 1610,Leeds Centre,London,15/02/2012,15/02/2014,3,University of Manchester,Civil Engineering
Application Support,Support,1611,First Name Surname 1611,Moorgate,Manchester,13/01/2013,13/01/2015,3,University of Brighton,Civil Engineering
Infrastructure,Cyber Security,1612,First Name Surname 1612,Moorgate,London,06/05/2013,06/05/2015,2:1,University of East Anglia,Business and Management Studies
Testing,Testing,1613,First Name Surname 1613,Moorgate,London,15/08/2012,15/08/2014,2:1,University of St Andrews,Business and Management Studies
Testing,Data Services,1614,First Name Surname 1614,Newcastle,London,08/03/2012,08/03/2014,2:1,University of Essex,Forensic Computing
Testing,PMO,1615,First Name Surname 1615,Edinburgh,London,21/05/2013,21/05/2015,1,University of Liverpool,Electrical and Electronic Engineering
Testing,PMO,1616,First Name Surname 1616,Birmingham New Street,London,26/09/2012,26/09/2014,2:2,University of Salford,Physics and Astronomy
Infrastructure,Support,1617,First Name Surname 1617,Birmingham New Street,London,06/10/2012,06/10/2014,2:2,University of Leeds,Biological Sciences
Development (Java),Business Intelligence,1618,First Name Surname 1618,Leeds Centre,London,05/12/2013,05/12/2015,2:2,University of Portsmouth,Economics
Development (.Net),Support,1619,First Name Surname 1619,Moorgate,London,09/09/2012,09/09/2014,2:2,University of St Andrews,Politics
PMO,Business Intelligence,1620,First Name Surname 1620,Newcastle,London,21/09/2012,21/09/2014,2:2,University of Salford,Accounting and Finance
PMO,Business Analysis,1621,First Name Surname 1621,Edinburgh,Manchester,08/08/2013,08/08/2015,2:1,University of York,Mechanical Engineering
Development (.Net),PMO,1622,First Name Surname 1622,Birmingham New Street,London,29/04/2013,29/04/2015,2:2,Bangor University,Politics
Testing,Support,1623,First Name Surname 1623,Birmingham New Street,London,08/09/2012,08/09/2014,2:2,University of Central Lancashire,Computer Science
Application Support,Business Analysis,1624,First Name Surname 1624,Leeds Centre,Manchester,04/03/2013,04/03/2015,3,University of Essex,Psychology
Data Analyst,Testing,1625,First Name Surname 1625,Leeds Centre,Manchester,29/03/2013,29/03/2015,3,London Metropolitan University,Electrical and Electronic Engineering
Data Analyst,Cyber Security,1626,First Name Surname 1626,Moorgate,Manchester,24/09/2013,24/09/2015,3,University of Reading,Civil Engineering
Development (.Net),Testing,1627,First Name Surname 1627,Edinburgh,London,29/03/2013,29/03/2015,2:1,London Metropolitan University,English
Development (.Net),Infrastructure,1628,First Name Surname 1628,Newcastle,Manchester,23/08/2013,23/08/2015,2:1,London Metropolitan University,Computer Science
Data Analyst,Cyber Security,1629,First Name Surname 1629,Oxford Circus,London,16/03/2013,16/03/2015,2:2,Swansea University,Politics
Development (.Net),Data Services,1630,First Name Surname 1630,Edinburgh,London,19/06/2013,19/06/2015,3,Cardiff University,Economics
Infrastructure,Support,1631,First Name Surname 1631,Leeds Centre,London,20/11/2013,20/11/2015,2:2,University of Manchester,Chemical Engineering
Development (.Net),Infrastructure,1632,First Name Surname 1632,Leeds Centre,Manchester,28/02/2012,28/02/2014,3,Swansea University,Physics and Astronomy
Testing,PMO,1633,First Name Surname 1633,Oxford Circus,London,07/05/2013,07/05/2015,1,Bangor University,Forensic Computing
Development (.Net),Cyber Security,1634,First Name Surname 1634,Leeds Centre,Manchester,02/12/2013,02/12/2015,1,University of York,Physics and Astronomy
PMO,Business Analysis,1635,First Name Surname 1635,Leeds Centre,Manchester,29/01/2013,29/01/2015,2:2,University of Nottingham,Electrical and Electronic Engineering
Testing,Data Services,1636,First Name Surname 1636,Leeds Centre,Manchester,22/11/2012,22/11/2014,2:1,Manchester Metropolitan University,History
Development (.Net),Business Intelligence,1637,First Name Surname 1637,Leeds Centre,London,12/07/2013,12/07/2015,2:1,University of Chester,Mechanical Engineering
Testing,Business Intelligence,1638,First Name Surname 1638,Birmingham New Street,London,01/06/2013,01/06/2015,2:2,University of Central Lancashire,English
Development (Java),Support,1639,First Name Surname 1639,Oxford Circus,Manchester,29/10/2013,29/10/2015,2:1,Coventry University,Geography and Environmental Sciences
Business Analysis,Data Services,1640,First Name Surname 1640,Moorgate,Manchester,22/01/2013,22/01/2015,3,University of East Anglia,Geography and Environmental Sciences
Application Support,Testing,1641,First Name Surname 1641,Edinburgh,London,07/08/2013,07/08/2015,2:1,University of Sheffield,Modern Languages
PMO,Business Analysis,1642,First Name Surname 1642,Birmingham New Street,Manchester,05/05/2013,05/05/2015,2:1,Nottingham Trent University,Electrical and Electronic Engineering
PMO,Business Analysis,1643,First Name Surname 1643,Leeds Centre,London,01/09/2012,01/09/2014,2:2,Glasgow Caledonian University,Economics
PMO,PMO,1644,First Name Surname 1644,Birmingham New Street,London,14/08/2012,14/08/2014,1,University of St Andrews,Mechanical Engineering
Business Analysis,Consulting,1645,First Name Surname 1645,Moorgate,London,03/06/2013,03/06/2015,2:1,Bangor University,Politics
PMO,Testing,1646,First Name Surname 1646,Birmingham New Street,London,23/07/2013,23/07/2015,2:1,University of Chester,History
PMO,Cyber Security,1647,First Name Surname 1647,Oxford Circus,Manchester,29/12/2012,29/12/2014,2:2,University of Nottingham,Physics and Astronomy
Infrastructure,Support,1648,First Name Surname 1648,Edinburgh,Manchester,28/06/2013,28/06/2015,2:1,Open University,Civil Engineering
Development (Java),Business Analysis,1649,First Name Surname 1649,Birmingham New Street,London,10/09/2012,10/09/2014,1,University of St Andrews,History
Development (Java),Testing,1650,First Name Surname 1650,Oxford Circus,Manchester,01/12/2013,01/12/2015,2:1,University of Essex,Mechanical Engineering
Development (.Net),Support,1651,First Name Surname 1651,Edinburgh,Manchester,14/08/2012,14/08/2014,1,Newcastle University ,Computer Science
Development (Java),Business Intelligence,1652,First Name Surname 1652,Moorgate,London,25/06/2013,25/06/2015,1,University of East Anglia,Electrical and Electronic Engineering
PMO,Business Analysis,1653,First Name Surname 1653,Newcastle,Manchester,08/04/2013,08/04/2015,3,Bangor University,Economics
Development (.Net),Data Services,1654,First Name Surname 1654,Edinburgh,London,14/07/2012,14/07/2014,2:1,Newcastle University ,Politics
Infrastructure,Cyber Security,1655,First Name Surname 1655,Oxford Circus,Manchester,22/06/2013,22/06/2015,2:2,Swansea University,English
Testing,Testing,1656,First Name Surname 1656,Edinburgh,Manchester,04/04/2012,04/04/2014,2:2,Newcastle University ,Robotics
Testing,Business Analysis,1657,First Name Surname 1657,Oxford Circus,Manchester,06/12/2012,06/12/2014,2:2,University of Huddersfield,Electrical and Electronic Engineering
Infrastructure,Data Services,1658,First Name Surname 1658,Birmingham New Street,Manchester,10/11/2012,10/11/2014,2:1,University of Reading,Biological Sciences
Business Analysis,Data Services,1659,First Name Surname 1659,Edinburgh,Manchester,23/05/2013,23/05/2015,3,Cardiff University,Accounting and Finance
Data Analyst,Consulting,1660,First Name Surname 1660,Moorgate,Manchester,17/11/2013,17/11/2015,2:2,University of York,Biological Sciences
Infrastructure,Business Intelligence,1661,First Name Surname 1661,Oxford Circus,Manchester,15/06/2013,15/06/2015,2:1,Cardiff University,Chemical Engineering
Infrastructure,Business Analysis,1662,First Name Surname 1662,Birmingham New Street,Manchester,02/10/2012,02/10/2014,2:2,Newcastle University ,Economics
Business Analysis,Cyber Security,1663,First Name Surname 1663,Birmingham New Street,London,11/12/2013,11/12/2015,2:1,University of Nottingham,Computer Science
Infrastructure,Cyber Security,1664,First Name Surname 1664,Moorgate,Manchester,29/12/2013,29/12/2015,1,University of Essex,Computer Science
Testing,PMO,1665,First Name Surname 1665,Birmingham New Street,Manchester,24/10/2012,24/10/2014,2:2,London School of Economics and Politics,Politics
Development (Java),Testing,1666,First Name Surname 1666,Moorgate,Manchester,02/12/2013,02/12/2015,2:1,Cardiff University,Aeronautical Engineering
Testing,Cyber Security,1667,First Name Surname 1667,Edinburgh,London,16/06/2013,16/06/2015,2:1,De Montfort University,Business and Management Studies
Testing,Testing,1668,First Name Surname 1668,Newcastle,Manchester,05/09/2012,05/09/2014,3,Cardiff University,English
Development (.Net),PMO,1669,First Name Surname 1669,Newcastle,London,28/08/2012,28/08/2014,1,Nottingham Trent University,Economics
PMO,Cyber Security,1670,First Name Surname 1670,Newcastle,London,07/09/2012,07/09/2014,2:2,Cardiff University,Business and Management Studies
Business Analysis,Consulting,1671,First Name Surname 1671,Birmingham New Street,London,25/04/2013,25/04/2015,2:1,University of St Andrews,Civil Engineering
Development (Java),Consulting,1672,First Name Surname 1672,Newcastle,London,04/05/2013,04/05/2015,3,Open University,Classics and Ancient History
Infrastructure,Infrastructure,1673,First Name Surname 1673,Moorgate,London,29/11/2012,29/11/2014,2:2,University of Sheffield,English
Business Analysis,Support,1674,First Name Surname 1674,Newcastle,London,03/02/2012,03/02/2014,2:1,University of Manchester,Electrical and Electronic Engineering
Infrastructure,Infrastructure,1675,First Name Surname 1675,Moorgate,Manchester,19/05/2013,19/05/2015,2:2,University of Leicester,Geography and Environmental Sciences
Infrastructure,Support,1676,First Name Surname 1676,Edinburgh,Manchester,24/10/2013,24/10/2015,2:1,Coventry University,Electrical and Electronic Engineering
Testing,Data Services,1677,First Name Surname 1677,Newcastle,Manchester,19/04/2013,19/04/2015,2:2,University of St Andrews,Aeronautical Engineering
PMO,Consulting,1678,First Name Surname 1678,Leeds Centre,London,27/11/2012,27/11/2014,2:2,Cardiff University,Computer Science
Development (.Net),Data Services,1679,First Name Surname 1679,Edinburgh,Manchester,03/07/2013,03/07/2015,1,Coventry University,Accounting and Finance
Application Support,Consulting,1680,First Name Surname 1680,Leeds Centre,Manchester,10/02/2012,10/02/2014,2:1,University of Essex,Mechanical Engineering
Development (Java),Infrastructure,1681,First Name Surname 1681,Leeds Centre,Manchester,04/08/2013,04/08/2015,2:2,De Montfort University,Aeronautical Engineering
Application Support,Cyber Security,1682,First Name Surname 1682,Edinburgh,London,05/12/2013,05/12/2015,2:2,Manchester Metropolitan University,Accounting and Finance
Application Support,Infrastructure,1683,First Name Surname 1683,Edinburgh,London,18/07/2013,18/07/2015,2:2,Swansea University,Computer Science
PMO,Infrastructure,1684,First Name Surname 1684,Birmingham New Street,London,07/02/2012,07/02/2014,2:1,University of Chester,English
Development (Java),Testing,1685,First Name Surname 1685,Newcastle,Manchester,23/09/2013,23/09/2015,2:1,University of Portsmouth,Politics
Business Analysis,Business Intelligence,1686,First Name Surname 1686,Oxford Circus,Manchester,19/09/2013,19/09/2015,3,University of Sheffield,Marketing
Infrastructure,Business Analysis,1687,First Name Surname 1687,Oxford Circus,Manchester,10/05/2013,10/05/2015,1,University of St Andrews,Forensic Computing
PMO,Testing,1688,First Name Surname 1688,Edinburgh,London,30/08/2013,30/08/2015,2:1,University of Leicester,History
Data Analyst,Business Analysis,1689,First Name Surname 1689,Newcastle,London,25/07/2013,25/07/2015,2:2,Open University,Aeronautical Engineering
Infrastructure,Testing,1690,First Name Surname 1690,Edinburgh,London,29/09/2013,29/09/2015,2:1,University of Salford,Chemistry
Business Analysis,Support,1691,First Name Surname 1691,Moorgate,London,14/08/2012,14/08/2014,2:1,Bangor University,Mechanical Engineering
Business Analysis,Data Services,1692,First Name Surname 1692,Birmingham New Street,Manchester,28/02/2012,28/02/2014,2:2,University of East Anglia,Geography and Environmental Sciences
Testing,Business Intelligence,1693,First Name Surname 1693,Moorgate,Manchester,09/11/2012,09/11/2014,2:1,University of Leeds,Geography and Environmental Sciences
Application Support,Business Analysis,1694,First Name Surname 1694,Birmingham New Street,Manchester,13/11/2013,13/11/2015,2:1,University of Sheffield,Mathematics
Development (.Net),Business Analysis,1695,First Name Surname 1695,Birmingham New Street,London,05/04/2013,05/04/2015,1,University of Huddersfield,Mathematics
Application Support,Testing,1696,First Name Surname 1696,Edinburgh,Manchester,15/11/2013,15/11/2015,2:2,London Metropolitan University,Accounting and Finance
Development (.Net),Data Services,1697,First Name Surname 1697,Oxford Circus,London,20/04/2013,20/04/2015,2:1,University of Central Lancashire,Marketing
Data Analyst,Business Analysis,1698,First Name Surname 1698,Oxford Circus,London,11/12/2013,11/12/2015,1,University of Leicester,Accounting and Finance
Business Analysis,Consulting,1699,First Name Surname 1699,Oxford Circus,London,05/01/2013,05/01/2015,3,University of Abertay,Mathematics
Infrastructure,Testing,1700,First Name Surname 1700,Birmingham New Street,Manchester,03/07/2012,03/07/2014,2:2,University of Brighton,Business and Management Studies
Development (Java),Testing,1701,First Name Surname 1701,Newcastle,Manchester,14/10/2012,14/10/2014,2:2,University of Reading,Civil Engineering
Data Analyst,Business Analysis,1702,First Name Surname 1702,Oxford Circus,London,30/10/2013,30/10/2015,2:1,Manchester Metropolitan University,Aeronautical Engineering
Development (Java),Testing,1703,First Name Surname 1703,Edinburgh,London,05/08/2013,05/08/2015,3,Bangor University,Electrical and Electronic Engineering
Business Analysis,Infrastructure,1704,First Name Surname 1704,Leeds Centre,Manchester,10/08/2013,10/08/2015,2:1,University of Liverpool,Biological Sciences
Development (Java),Testing,1705,First Name Surname 1705,Birmingham New Street,Manchester,07/03/2013,07/03/2015,2:1,Swansea University,Electrical and Electronic Engineering
Application Support,Data Services,1706,First Name Surname 1706,Leeds Centre,Manchester,19/05/2013,19/05/2015,2:1,Open University,Chemistry
PMO,PMO,1707,First Name Surname 1707,Moorgate,London,08/03/2013,08/03/2015,3,Bangor University,Physics and Astronomy
Testing,Testing,1708,First Name Surname 1708,Leeds Centre,Manchester,27/04/2013,27/04/2015,3,Cardiff University,Biological Sciences
Development (Java),PMO,1709,First Name Surname 1709,Birmingham New Street,London,19/12/2013,19/12/2015,2:1,Manchester Metropolitan University,Mathematics
Application Support,Cyber Security,1710,First Name Surname 1710,Birmingham New Street,Manchester,25/12/2013,25/12/2015,2:1,Coventry University,Mathematics
Testing,Data Services,1711,First Name Surname 1711,Leeds Centre,London,19/03/2013,19/03/2015,2:2,University of Nottingham,Politics
Development (Java),Data Services,1712,First Name Surname 1712,Birmingham New Street,Manchester,31/03/2013,31/03/2015,2:2,Newcastle University ,Physics and Astronomy
Business Analysis,Support,1713,First Name Surname 1713,Newcastle,London,04/08/2013,04/08/2015,2:2,University of Manchester,Aeronautical Engineering
Infrastructure,Business Intelligence,1714,First Name Surname 1714,Edinburgh,London,19/12/2013,19/12/2015,2:1,University College London,Politics
Infrastructure,Business Analysis,1715,First Name Surname 1715,Moorgate,London,18/07/2013,18/07/2015,2:2,London Metropolitan University,Accounting and Finance
Testing,Cyber Security,1716,First Name Surname 1716,Oxford Circus,Manchester,31/03/2013,31/03/2015,2:2,Nottingham Trent University,Mechanical Engineering
Testing,Support,1717,First Name Surname 1717,Leeds Centre,London,11/06/2013,11/06/2015,2:2,London School of Economics and Politics,Physics and Astronomy
PMO,Infrastructure,1718,First Name Surname 1718,Newcastle,Manchester,07/03/2013,07/03/2015,2:2,University of Chester,Aeronautical Engineering
